BR,PT,TY,LAB,V,L2-NORM,C_in,C_SR,U(3),U(4),stability,system_id
1,7602,,0,-5.12112E+01,2.78093E+01,1.82673E-01,2.78087E+01,0.00000E+00,0.00000E+00,4,P1
1,7702,,0,-5.11612E+01,2.78102E+01,1.82795E-01,2.78095E+01,0.00000E+00,0.00000E+00,4,P1
1,7802,,0,-5.11112E+01,2.78110E+01,1.82916E-01,2.78104E+01,0.00000E+00,0.00000E+00,4,P1
1,7902,,0,-5.10612E+01,2.78117E+01,1.83038E-01,2.78111E+01,0.00000E+00,0.00000E+00,4,P1
1,8002,,0,-5.10113E+01,2.78125E+01,1.83159E-01,2.78119E+01,0.00000E+00,0.00000E+00,4,P1
1,8102,,0,-5.09613E+01,2.78133E+01,1.83280E-01,2.78127E+01,0.00000E+00,0.00000E+00,4,P1
1,8202,,0,-5.09113E+01,2.78140E+01,1.83401E-01,2.78134E+01,0.00000E+00,0.00000E+00,4,P1
1,8302,,0,-5.08613E+01,2.78148E+01,1.83522E-01,2.78142E+01,0.00000E+00,0.00000E+00,4,P1
1,8402,,0,-5.08113E+01,2.78155E+01,1.83643E-01,2.78149E+01,0.00000E+00,0.00000E+00,4,P1
1,8502,,0,-5.07613E+01,2.78162E+01,1.83764E-01,2.78156E+01,0.00000E+00,0.00000E+00,4,P1
1,8602,,0,-5.07113E+01,2.78169E+01,1.83884E-01,2.78163E+01,0.00000E+00,0.00000E+00,4,P1
1,8702,,0,-5.06613E+01,2.78176E+01,1.84005E-01,2.78170E+01,0.00000E+00,0.00000E+00,4,P1
1,8802,,0,-5.06113E+01,2.78182E+01,1.84125E-01,2.78176E+01,0.00000E+00,0.00000E+00,4,P1
1,8902,,0,-5.05613E+01,2.78189E+01,1.84245E-01,2.78183E+01,0.00000E+00,0.00000E+00,4,P1
1,9002,,0,-5.05113E+01,2.78195E+01,1.84365E-01,2.78189E+01,0.00000E+00,0.00000E+00,4,P1
1,9102,,0,-5.04613E+01,2.78201E+01,1.84485E-01,2.78195E+01,0.00000E+00,0.00000E+00,4,P1
1,9202,,0,-5.04113E+01,2.78208E+01,1.84605E-01,2.78201E+01,0.00000E+00,0.00000E+00,4,P1
1,9302,,0,-5.03613E+01,2.78214E+01,1.84724E-01,2.78207E+01,0.00000E+00,0.00000E+00,4,P1
1,9402,,0,-5.03113E+01,2.78219E+01,1.84844E-01,2.78213E+01,0.00000E+00,0.00000E+00,4,P1
1,9502,,0,-5.02613E+01,2.78225E+01,1.84963E-01,2.78219E+01,0.00000E+00,0.00000E+00,4,P1
1,9602,,0,-5.02113E+01,2.78231E+01,1.85082E-01,2.78225E+01,0.00000E+00,0.00000E+00,4,P1
1,9702,,0,-5.01613E+01,2.78236E+01,1.85201E-01,2.78230E+01,0.00000E+00,0.00000E+00,4,P1
1,9802,,0,-5.01113E+01,2.78242E+01,1.85320E-01,2.78235E+01,0.00000E+00,0.00000E+00,4,P1
1,9902,,0,-5.00613E+01,2.78247E+01,1.85439E-01,2.78241E+01,0.00000E+00,0.00000E+00,4,P1
1,3,,0,-5.00113E+01,2.78252E+01,1.85557E-01,2.78246E+01,0.00000E+00,0.00000E+00,4,P1
1,103,,0,-4.99613E+01,2.78257E+01,1.85676E-01,2.78251E+01,0.00000E+00,0.00000E+00,4,P1
1,203,,0,-4.99113E+01,2.78262E+01,1.85794E-01,2.78256E+01,0.00000E+00,0.00000E+00,4,P1
1,303,,0,-4.98613E+01,2.78266E+01,1.85912E-01,2.78260E+01,0.00000E+00,0.00000E+00,4,P1
1,403,,0,-4.98113E+01,2.78271E+01,1.86030E-01,2.78265E+01,0.00000E+00,0.00000E+00,4,P1
1,503,,0,-4.97614E+01,2.78276E+01,1.86148E-01,2.78269E+01,0.00000E+00,0.00000E+00,4,P1
1,603,,0,-4.97114E+01,2.78280E+01,1.86265E-01,2.78274E+01,0.00000E+00,0.00000E+00,4,P1
1,703,,0,-4.96614E+01,2.78284E+01,1.86383E-01,2.78278E+01,0.00000E+00,0.00000E+00,4,P1
1,803,,0,-4.96114E+01,2.78288E+01,1.86500E-01,2.78282E+01,0.00000E+00,0.00000E+00,4,P1
1,903,,0,-4.95614E+01,2.78292E+01,1.86617E-01,2.78286E+01,0.00000E+00,0.00000E+00,4,P1
1,1003,,0,-4.95114E+01,2.78296E+01,1.86734E-01,2.78290E+01,0.00000E+00,0.00000E+00,4,P1
1,1103,,0,-4.94614E+01,2.78300E+01,1.86851E-01,2.78294E+01,0.00000E+00,0.00000E+00,4,P1
1,1203,,0,-4.94114E+01,2.78303E+01,1.86968E-01,2.78297E+01,0.00000E+00,0.00000E+00,4,P1
1,1303,,0,-4.93614E+01,2.78307E+01,1.87084E-01,2.78301E+01,0.00000E+00,0.00000E+00,4,P1
1,1403,,0,-4.93114E+01,2.78310E+01,1.87200E-01,2.78304E+01,0.00000E+00,0.00000E+00,4,P1
1,1503,,0,-4.92614E+01,2.78314E+01,1.87316E-01,2.78307E+01,0.00000E+00,0.00000E+00,4,P1
1,1603,,0,-4.92114E+01,2.78317E+01,1.87432E-01,2.78311E+01,0.00000E+00,0.00000E+00,4,P1
1,1703,,0,-4.91614E+01,2.78320E+01,1.87548E-01,2.78314E+01,0.00000E+00,0.00000E+00,4,P1
1,1803,,0,-4.91114E+01,2.78323E+01,1.87664E-01,2.78317E+01,0.00000E+00,0.00000E+00,4,P1
1,1903,,0,-4.90614E+01,2.78326E+01,1.87779E-01,2.78319E+01,0.00000E+00,0.00000E+00,4,P1
1,2003,,0,-4.90114E+01,2.78328E+01,1.87894E-01,2.78322E+01,0.00000E+00,0.00000E+00,4,P1
1,2103,,0,-4.89614E+01,2.78331E+01,1.88009E-01,2.78325E+01,0.00000E+00,0.00000E+00,4,P1
